1712351;a1,a4,c1,b1,b4,d1;1.5,-1,3,8.5,-1,9;13
1712352;a1,a4,c1,b1,b4,d1;1.5,-1,1.5,3.5,-1,4.5;13
1712353;a1,a4,c1,b1,b4,d1;5.5,-1,7,0.5,-1,0;13
1712354;a1,a4,c1,b1,b4,d1;8.5,-1,0,1.5,-1,3.5;13
1712355;a1,a4,c1,b1,b4,d1;6.5,-1,8.5,0.5,-1,9;13
1712356;a1,a4,c1,b1,b4,d1;8,-1,6,6.5,-1,5.5;13
1712357;a1,a4,c1,b1,b4,d1;8,-1,1.5,3.5,-1,2;13
1712358;a1,a4,c1,b1,b4,d1;0,-1,0.5,4.5,-1,3.5;13
1712359;a1,a4,c1,b1,b4,d1;7.5,-1,7,4.5,-1,1.5;13
1712360;a1,a4,c1,b1,b4,d1;6.5,-1,4.5,8.5,-1,9;13
1712361;a1,a5,c1,b1,b5,d1;4,-1,7.5,7,-1,2;13
1712362;a1,a5,c1,b1,b5,d1;1,-1,4.5,10,-1,1.5;13
1712363;a1,a5,c1,b1,b5,d1;3,-1,10,9,-1,3;13
1712364;a1,a5,c1,b1,b5,d1;1.5,-1,4.5,1.5,-1,8.5;13
1712365;a1,a5,c1,b2,b5,d1;2,-1,2,2.5,-1,2.5;13
1712366;a2,a5,c2,b2,b5,d2;6,-1,9.5,5,-1,2.5;13
1712367;a2,a5,c2,b2,b5,d2;5,-1,5,5,-1,7;13
1712368;a2,a5,c2,b2,b5,d2;6.5,-1,7.5,8.5,-1,4;13
1712369;a2,a5,c2,b2,b5,d2;6,-1,3.5,5,-1,10;13
1712370;a2,a5,c2,b2,b5,d2;4,-1,1.5,6,-1,5.5;13
1712371;a2,c3,c2,b2,d3,d2;9,2.5,2.5,0.5,6.5,3;13
1712372;a2,c3,c2,b2,d3,d2;8,2.5,6,9,1.5,0;13
1712373;a2,c3,c2,b2,d3,d2;1,1,6.5,4.5,6.5,5;13
1712374;a2,c3,c2,b2,d3,d2;0.5,7,5,2,3,8.5;13
1712375;a2,c3,c2,b2,d3,d2;1,1,4,3.5,2,9.5;13
1712376;a2,c3,c2,b2,d3,d2;1.5,5.5,9.5,0,10,4;13
1712377;a2,c3,c2,b2,d3,d2;8,9,1.5,4,5.5,9;13
1712378;a2,c3,c2,b2,d3,d2;5,9.5,0.5,8.5,6,2.5;13
1712379;a2,c3,c2,b3,d3,d2;6,7.5,5,4.5,9,4;13
1712380;a2,c3,c2,b3,d3,d2;0,1.5,10,0.5,7.5,5.5;13
1712381;a3,c4,c5,b3,d4,d5;3,7.5,-1,8,8,3.5;13
1712382;a3,c4,c5,b3,d4,d5;0.5,9,-1,6.5,6.5,1.5;13
1712383;a3,c4,c5,b3,d4,d5;9.5,8.5,-1,6.5,2,7.5;13
1712384;a3,c4,c5,b3,d4,d5;7.5,9,-1,10,5,6;13
1712385;a3,c4,c5,b3,d4,d5;2,9.5,-1,2,0.5,2;13
1712386;a3,c4,c5,b3,d4,d5;8.5,2.5,-1,7,4,6.5;13
1712387;a3,c4,c5,b3,d4,d5;10,3,-1,5,6,6;13
1712388;a3,c4,c5,b3,d4,d5;4.5,2,-1,8,4.5,2;13
1712389;a3,c4,c5,b3,d4,d5;3.5,9.5,-1,0.5,8,5;13
1712390;a3,c4,c5,b3,d4,d5;4,9.5,-1,4,8,8;13
